project,genome,file_accession,type,output_type,replicates,pipe,Target,Biosample
ENCSR000BGX,GRCh38,ENCFF742ZHT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SIX5,K562
ENCSR000BGY,GRCh38,ENCFF113VGD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IRF4,GM12878
ENCSR000BGZ,GRCh38,ENCFF068YYR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,GM12878
ENCSR000BHA,GRCh38,ENCFF824QXX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCL11A,GM12878
ENCSR000BHB,GRCh38,ENCFF707DWY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,GM12878
ENCSR000BHC,GRCh38,ENCFF917XFN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB33,GM12878
ENCSR000BHD,GRCh38,ENCFF827VVQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PAX5,GM12878
ENCSR000BHM,GRCh38,ENCFF738LQB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,H1
ENCSR000BHP,GRCh38,ENCFF401HSI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOSL2,HepG2
ENCSR000BHR,GRCh38,ENCFF787GZD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB33,HepG2
ENCSR000BHS,GRCh38,ENCFF168BDU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,HeLa-S3
ENCSR000BHU,GRCh38,ENCFF382YJO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RXRA,HepG2
ENCSR000BID,GRCh38,ENCFF992EBV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BHLHE40,HepG2
ENCSR000BIQ,GRCh38,ENCFF384KWP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SIX5,H1
ENCSR000BIR,GRCh38,ENCFF284JVS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP1,H1
ENCSR000BIT,GRCh38,ENCFF959HJP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,H1
ENCSR000BIU,GRCh38,ENCFF978MNS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF1,H1
ENCSR000BIV,GRCh38,ENCFF648QJE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SRF,H1
ENCSR000BIW,GRCh38,ENCFF308NZT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,H1
ENCSR000BJA,GRCh38,ENCFF100KKH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EGR1,H1
ENCSR000BJD,GRCh38,ENCFF063KLF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RXRA,GM12878
ENCSR000BJE,GRCh38,ENCFF878FBM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SIX5,GM12878
ENCSR000BJG,GRCh38,ENCFF373UVF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,HepG2
ENCSR000BJJ,GRCh38,ENCFF358XFJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,SK-N-SH
ENCSR000BJK,GRCh38,ENCFF890WJZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,HepG2
ENCSR000BJL,GRCh38,ENCFF200SDQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,HepG2
ENCSR000BJW,GRCh38,ENCFF745EBL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RXRA,H1
ENCSR000BJX,GRCh38,ENCFF806TIM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP1,HepG2
ENCSR000BJY,GRCh38,ENCFF882AEU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF3,GM12878
ENCSR000BJZ,GRCh38,ENCFF185BRL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCLAF1,GM12878
ENCSR000BKA,GRCh38,ENCFF568AZT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ETS1,GM12878
ENCSR000BKB,GRCh38,ENCFF826GQU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MEF2A,GM12878
ENCSR000BKC,GRCh38,ENCFF440FTA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF3,H1
ENCSR000BKD,GRCh38,ENCFF376FVJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YY1,H1
ENCSR000BKE,GRCh38,ENCFF440JOS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF3,HepG2
ENCSR000BKF,GRCh38,ENCFF146GZZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB33,K562
ENCSR000BKH,GRCh38,ENCFF070ZTX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCLAF1,K562
ENCSR000BKK,GRCh38,ENCFF244VKF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,H1
ENCSR000BKM,GRCh38,ENCFF242YZU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GATA2,K562
ENCSR000BKO,GRCh38,ENCFF171NEU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP1,K562
ENCSR000BKP,GRCh38,ENCFF443FKS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,H1
ENCSR000BKQ,GRCh38,ENCFF159OUK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ETS1,K562
ENCSR000BKT,GRCh38,ENCFF310CCS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF1,K562
ENCSR000BKU,GRCh38,ENCFF074OAM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YY1,K562
ENCSR000BLE,GRCh38,ENCFF466RZX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXA1,HepG2
ENCSR000BLF,GRCh38,ENCFF263RCV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HNF4A,HepG2
ENCSR000BLI,GRCh38,ENCFF831NDQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F6,K562
ENCSR000BLK,GRCh38,ENCFF101SEZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SRF,K562
ENCSR000BLO,GRCh38,ENCFF489EME,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,K562
ENCSR000BLP,GRCh38,ENCFF822FKQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,K562
ENCSR000BLV,GRCh38,ENCFF050QMU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SRF,HepG2
ENCSR000BLW,GRCh38,ENCFF393LUP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,HepG2
ENCSR000BMB,GRCh38,ENCFF146SYU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELF1,GM12878
ENCSR000BMD,GRCh38,ENCFF688TNZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELF1,K562
ENCSR000BMN,GRCh38,ENCFF096JDA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,HeLa-S3
ENCSR000BMQ,GRCh38,ENCFF637UJN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EGR1,GM12878
ENCSR000BMT,GRCh38,ENCFF435DTC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NANOG,H1
ENCSR000BMU,GRCh38,ENCFF383EYO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,POU5F1,H1
ENCSR000BMV,GRCh38,ENCFF004HXL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOSL1,K562
ENCSR000BMZ,GRCh38,ENCFF839JEO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELF1,HepG2
ENCSR000BND,GRCh38,ENCFF703XCL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZEB1,GM12878
ENCSR000BNE,GRCh38,ENCFF566PRZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EGR1,K562
ENCSR000BNG,GRCh38,ENCFF238UKB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MEF2C,GM12878
ENCSR000BNH,GRCh38,ENCFF023LAA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,H1
ENCSR000BNI,GRCh38,ENCFF759YCY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXA2,HepG2
ENCSR000BNJ,GRCh38,ENCFF123FQW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HNF4G,HepG2
ENCSR000BNK,GRCh38,ENCFF630YVJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCFL,K562
ENCSR000BNL,GRCh38,ENCFF741FZG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP2,K562
ENCSR000BNN,GRCh38,ENCFF823RYG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,THAP1,K562
ENCSR000BNP,GRCh38,ENCFF446ZSX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YY1,GM12878
ENCSR000BNQ,GRCh38,ENCFF452NTN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCL3,GM12878
ENCSR000BNS,GRCh38,ENCFF428RHR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOSL1,H1
ENCSR000BNT,GRCh38,ENCFF958OUE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YY1,HepG2
ENCSR000BNU,GRCh38,ENCFF718VHT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF3,K562
ENCSR000BNV,GRCh38,ENCFF031NTF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MEF2A,K562
ENCSR000BOU,GRCh38,ENCFF591XXC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP2,HepG2
ENCSR000BQG,GRCh38,ENCFF309QRC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP2,H1
ENCSR000BQI,GRCh38,ENCFF301CNM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,HepG2
ENCSR000BQK,GRCh38,ENCFF973FKS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF2,GM12878
ENCSR000BQL,GRCh38,ENCFF172KBM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFATC1,GM12878
ENCSR000BQT,GRCh38,ENCFF700TAS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF3,GM12878
ENCSR000BQU,GRCh38,ENCFF352KLD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF2,H1
ENCSR000BQV,GRCh38,ENCFF257FUV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP4,H1
ENCSR000BQX,GRCh38,ENCFF611FIV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFIC,HepG2
ENCSR000BQZ,GRCh38,ENCFF006GSY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT5A,GM12878
ENCSR000BRI,GRCh38,ENCFF346JDW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RUNX3,GM12878
ENCSR000BRK,GRCh38,ENCFF501XJP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,K562
ENCSR000BRN,GRCh38,ENCFF980SDE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFIC,GM12878
ENCSR000BRO,GRCh38,ENCFF712RNF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYBL2,HepG2
ENCSR000BRP,GRCh38,ENCFF841GDS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,HepG2
ENCSR000BRQ,GRCh38,ENCFF022KBK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,K562
ENCSR000BRR,GRCh38,ENCFF187BVL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT5A,K562
ENCSR000BRS,GRCh38,ENCFF847ZHF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2F2,K562
ENCSR000BRW,GRCh38,ENCFF634OOU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TRIM28,K562
ENCSR000BRX,GRCh38,ENCFF955YFB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,GM12878
ENCSR000BRY,GRCh38,ENCFF885PQR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,H1
ENCSR000BSI,GRCh38,ENCFF174AVU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F6,H1
ENCSR000BSJ,GRCh38,ENCFF460LNS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,H1
ENCSR000BSK,GRCh38,ENCFF217QFC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,SK-N-SH
ENCSR000BSL,GRCh38,ENCFF258AZW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,SK-N-SH
ENCSR000BSM,GRCh38,ENCFF042OEY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YY1,SK-N-SH
ENCSR000BSN,GRCh38,ENCFF978KGB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB1,H1
ENCSR000BSO,GRCh38,ENCFF193LLN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB1,K562
ENCSR000BSP,GRCh38,ENCFF680JMZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,MCF-7
ENCSR000BSR,GRCh38,ENCFF240ZHW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,MCF-7
ENCSR000BSS,GRCh38,ENCFF091NQE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELF1,MCF-7
ENCSR000BST,GRCh38,ENCFF565QWY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GATA3,MCF-7
ENCSR000BSU,GRCh38,ENCFF398OOD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,MCF-7
ENCSR000BSV,GRCh38,ENCFF749DWZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFIC,SK-N-SH
ENCSR000BTA,GRCh38,ENCFF290IBP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELF1,SK-N-SH
ENCSR000BTC,GRCh38,ENCFF786NAO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F6,A549
ENCSR000BTG,GRCh38,ENCFF157KZY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,SK-N-SH
ENCSR000BTH,GRCh38,ENCFF833ZAC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GATA3,SK-N-SH
ENCSR000BTI,GRCh38,ENCFF517TKD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GATA3,A549
ENCSR000BTJ,GRCh38,ENCFF713RHL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,A549
ENCSR000BTM,GRCh38,ENCFF104FEX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,HepG2
ENCSR000BTN,GRCh38,ENCFF656HFI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PBX3,A549
ENCSR000BTR,GRCh38,ENCFF290DJX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,MCF-7
ENCSR000BTS,GRCh38,ENCFF260GEA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB33,SK-N-SH
ENCSR000BTZ,GRCh38,ENCFF914HSC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF1,SK-N-SH
ENCSR000BUA,GRCh38,ENCFF854RMQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,SK-N-SH
ENCSR000BUB,GRCh38,ENCFF894YJQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,A549
ENCSR000BUD,GRCh38,ENCFF766VUQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,A549
ENCSR000BUF,GRCh38,ENCFF053UZX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB1,GM12878
ENCSR000BUI,GRCh38,ENCFF423KOE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOSL2,MCF-7
ENCSR000BUK,GRCh38,ENCFF678DJM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPA,MCF-7
ENCSR000BUL,GRCh38,ENCFF624CRN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,MCF-7
ENCSR000BUN,GRCh38,ENCFF987QLI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,MCF-7
ENCSR000BUO,GRCh38,ENCFF849ZRM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,MCF-7
ENCSR000BUQ,GRCh38,ENCFF463DWW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TEAD4,SK-N-SH
ENCSR000BUX,GRCh38,ENCFF427RSA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EGR1,MCF-7
ENCSR000BUY,GRCh38,ENCFF386FQQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2F2,MCF-7
ENCSR000BVA,GRCh38,ENCFF131TYZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SRF,MCF-7
ENCSR000BVB,GRCh38,ENCFF209EPG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOSL2,SK-N-SH
ENCSR000BVC,GRCh38,ENCFF146AYQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MEF2A,SK-N-SH
ENCSR000BVD,GRCh38,ENCFF244LUT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,SK-N-SH
ENCSR000BVE,GRCh38,ENCFF968BSH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PBX3,SK-N-SH
ENCSR000BVG,GRCh38,ENCFF018FHH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RXRA,SK-N-SH
ENCSR000BVL,GRCh38,ENCFF738LQC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB1,HepG2
ENCSR000BVM,GRCh38,ENCFF804MKP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2F2,HepG2
ENCSR000BVN,GRCh38,ENCFF060IPX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZEB1,HepG2
ENCSR000DJW,GRCh38,ENCFF772UYI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR4A1,K562
ENCSR000DJX,GRCh38,ENCFF273KIA,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,JUND,K562
ENCSR000DKU,GRCh38,ENCFF214XPD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYC,GM12878
ENCSR000DLN,GRCh38,ENCFF784BWK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYC,HeLa-S3
ENCSR000DLR,GRCh38,ENCFF735PKA,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,MYC,HepG2
ENCSR000DLZ,GRCh38,ENCFF566CTX,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,MYC,K562
ENCSR000DMJ,GRCh38,ENCFF385LDF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYC,MCF-7
ENCSR000DNA,GRCh38,ENCFF467CVV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,A549
ENCSR000DNM,GRCh38,ENCFF156MUM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYB,GM12878
ENCSR000DNN,GRCh38,ENCFF937QTP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYA,GM12878
ENCSR000DNQ,GRCh38,ENCFF535WUH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZZZ3,GM12878
ENCSR000DNR,GRCh38,ENCFF191KVV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYB,HeLa-S3
ENCSR000DNS,GRCh38,ENCFF865QSV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYA,HeLa-S3
ENCSR000DNT,GRCh38,ENCFF675ARG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZZZ3,HeLa-S3
ENCSR000DNV,GRCh38,ENCFF645KWQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BRF2,HeLa-S3
ENCSR000DNY,GRCh38,ENCFF662WYP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GTF3C2,HeLa-S3
ENCSR000DNZ,GRCh38,ENCFF206BGR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF1,K562
ENCSR000DOC,GRCh38,ENCFF944LWS,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,BRF2,K562
ENCSR000DOD,GRCh38,ENCFF496PIQ,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,GTF3C2,K562
ENCSR000DOE,GRCh38,ENCFF987FJR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GTF2B,K562
ENCSR000DTW,GRCh38,ENCFF071FSR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,HEK293
ENCSR000DYC,GRCh38,ENCFF598BZD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYC,A549
ENCSR000DYJ,GRCh38,ENCFF808XJN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BHLHE40,A549
ENCSR000DYP,GRCh38,ENCFF955FRU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF384,GM12878
ENCSR000DYQ,GRCh38,ENCFF660PIB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ESRRA,GM12878
ENCSR000DYR,GRCh38,ENCFF451AII,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CUX1,GM12878
ENCSR000DYS,GRCh38,ENCFF134BQO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,GM12878
ENCSR000DYT,GRCh38,ENCFF896MPE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SREBF2,GM12878
ENCSR000DYU,GRCh38,ENCFF397YRO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SREBF1,GM12878
ENCSR000DYV,GRCh38,ENCFF436SJS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFK,GM12878
ENCSR000DYY,GRCh38,ENCFF744QAC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F4,GM12878
ENCSR000DZA,GRCh38,ENCFF467VSF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAZ,GM12878
ENCSR000DZB,GRCh38,ENCFF164MPE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELK1,GM12878
ENCSR000DZC,GRCh38,ENCFF874HBT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RCOR1,GM12878
ENCSR000DZF,GRCh38,ENCFF361EVH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,GM12878
ENCSR000DZI,GRCh38,ENCFF376AEL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXI1,GM12878
ENCSR000DZJ,GRCh38,ENCFF633YUQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BHLHE40,GM12878
ENCSR000DZL,GRCh38,ENCFF012FCL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,GM12878
ENCSR000DZM,GRCh38,ENCFF896SEI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT1,GM12878
ENCSR000DZO,GRCh38,ENCFF390OQK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,GM12878
ENCSR000DZU,GRCh38,ENCFF196JQW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF2,GM12878
ENCSR000DZV,GRCh38,ENCFF029PAA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT3,GM12878
ENCSR000DZW,GRCh38,ENCFF601WHE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,GM12878
ENCSR000DZX,GRCh38,ENCFF785MSW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IRF3,GM12878
